1035,THE ENGLISH CHANNEL A MULTI SKILLS ENGLISH COURSE 6,RITU  TANEJA,,NEWDELHI,5,YES,8,327,,2014,1,,BOOK,60,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,5,,PURCHASE,,          ,0,,,,1,
1036,THE ENGLISH CHANNEL A MULTI SKILLS ENGLISH COURSE,RITU  TANEJA,,NEWDELHI,5,YES,8,327,,2014,1,,BOOK,105,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,5,,PURCHASE,,          ,0,,,,1,
1037,THE ENGLISH CHANNEL A MULTI SKILLS ENGLISH COURSE  1,ILLA VIJ & MARYANN VAISOHA,,NEWDELHI,5,YES,8,327,,2014,1,,BOOK,130,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,5,,PURCHASE,,          ,0,,,,1,
1038,THE ENGLISH CHANNEL A MULTI SKILLS ENGLISH COURSE  1,ILLA VIJ & MARYANN VAISOHA,,NEWDELHI,5,YES,8,327,,2014,1,,BOOK,200,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,5,,PURCHASE,,          ,0,,,,1,
1039,THE ENGLISH CHANNEL A MULTI SKILL ENGLISH COURSE BOOK 4,ILLA VIJ & MARYANN VAISOHA,,NEWDELHI,5,YES,8,1,,2014,1,,BOOK,240,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,5,,PURCHASE,,          ,0,,,,1,
104,MY STUDIO CLASS 1 MATH,CHRYSALIS,,,11,YES,2,331,,2010,1,,BOOK,150,0,RUPEES,,2017-06-19 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,12,,PURCHASE,,          ,0,,,,1,
1040,THE ENGLISH CHANNEL A MULTI SKILL ENGLISH COURSE BOOK 8,ILLA VIJ & MARYANN VAISOHA,,NEWDELHI,5,YES,8,327,,2014,1,,BOOK,275,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,5,,PURCHASE,,          ,0,,,,1,
1041,LIVING SCIENCE,MADHU MANGAL SINGH,,NEWDELHI,90,YES,8,346,,0,1,,BOOK,209,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,59,,PURCHASE,,          ,0,,,,1,
1042,LIVING SCIENCE BOOK 2,MADHU MANGAL SINGH,,NEWDELHI,90,YES,8,346,,0,1,,BOOK,229,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,59,,PURCHASE,,          ,0,,,,1,
1043,LIVING SCIENCE,MADHU MANGAL SINGH,,NEWDELHI,90,YES,8,346,,0,1,,BOOK,179,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,59,,PURCHASE,,          ,0,,,,1,
